"Time","Internet traffic data (in bits) from an ISP. Aggregated traffic in the United Kingdom academic network backbone. It was collected between 19 November 2004, at 09:30 hours and 27 January 2005, at 11:11 hours. Hourly data"
"2004-11-19 09:30:00",64554.4788493508
"2004-11-19 10:30:00",71138.7492385722
"2004-11-19 11:30:00",77253.2663003328
"2004-11-19 12:30:00",77340.779502806
"2004-11-19 13:30:00",79860.7594145648
"2004-11-19 14:30:00",81103.4079079732
"2004-11-19 15:30:00",75227.5597899524
"2004-11-19 16:30:00",66933.3237610039
"2004-11-19 17:30:00",59458.3178403242
"2004-11-19 18:30:00",55028.9677333866
"2004-11-19 19:30:00",52930.8706124631
"2004-11-19 20:30:00",50795
"2004-11-19 21:30:00",47474.4641032802
"2004-11-19 22:30:00",45387.152330033
"2004-11-19 23:30:00",48597.6925306475
"2004-11-20 00:30:00",48590.2824187022
"2004-11-20 01:30:00",45276.8570390678
"2004-11-20 02:30:00",42160.2609785557
"2004-11-20 03:30:00",38284.1260982288
"2004-11-20 04:30:00",34675.4960139624
"2004-11-20 05:30:00",32918.1204838285
"2004-11-20 06:30:00",32352.3297912301
"2004-11-20 07:30:00",31597
"2004-11-20 08:30:00",33643.6556044542
"2004-11-20 09:30:00",37522.8941603143
"2004-11-20 10:30:00",41738.5827190322
"2004-11-20 11:30:00",44282.8853347827
"2004-11-20 12:30:00",43803.9648781376
"2004-11-20 13:30:00",46397.1522299121
"2004-11-20 14:30:00",49180.181431642
"2004-11-20 15:30:00",50711.8211323705
"2004-11-20 16:30:00",49087.5887543038
"2004-11-20 17:30:00",47360.9909058473
"2004-11-20 18:30:00",47937.2452292828
"2004-11-20 19:30:00",47312.6990259984
"2004-11-20 20:30:00",46389.854719599
"2004-11-20 21:30:00",44270.4422871902
"2004-11-20 22:30:00",42606.6486894755
"2004-11-20 23:30:00",40838.8006072861
"2004-11-21 00:30:00",39294.2846323815
"2004-11-21 01:30:00",37190.9867200458
"2004-11-21 02:30:00",37542.9262959261
"2004-11-21 03:30:00",35328.499586338
"2004-11-21 04:30:00",26617.1639697674
"2004-11-21 05:30:00",22759.6921743584
"2004-11-21 06:30:00",23044.7779988072
"2004-11-21 07:30:00",22618.1169803109
"2004-11-21 08:30:00",24095.5872308525
"2004-11-21 09:30:00",26096
"2004-11-21 10:30:00",28981.9280384733
"2004-11-21 11:30:00",33023
"2004-11-21 12:30:00",37690.5144110885
"2004-11-21 13:30:00",42192.5305449642
"2004-11-21 14:30:00",47105.17924708
"2004-11-21 15:30:00",52032.4168674926
"2004-11-21 16:30:00",65306.7169382384
"2004-11-21 17:30:00",70662
"2004-11-21 18:30:00",71307.9915509614
"2004-11-21 19:30:00",72310.8562854596
"2004-11-21 20:30:00",72280
"2004-11-21 21:30:00",70801
"2004-11-21 22:30:00",69972.8127959347
"2004-11-21 23:30:00",67289.2818406283
"2004-11-22 00:30:00",61491.5121156741
"2004-11-22 01:30:00",55463.3240937735
"2004-11-22 02:30:00",49658.1331778494
"2004-11-22 03:30:00",45066.4971993558
"2004-11-22 04:30:00",39938.6155798982
"2004-11-22 05:30:00",37518.3266564391
"2004-11-22 06:30:00",37667.3384486991
"2004-11-22 07:30:00",41410.3843907621
"2004-11-22 08:30:00",59453.5668156798
"2004-11-22 09:30:00",85732.7072161868
"2004-11-22 10:30:00",99485.7143843862
"2004-11-22 11:30:00",109657.701043999
"2004-11-22 12:30:00",113513.695837308
"2004-11-22 13:30:00",122772.135148349
"2004-11-22 14:30:00",122664.462640075
"2004-11-22 15:30:00",120957.81983809
"2004-11-22 16:30:00",112710.781970147
"2004-11-22 17:30:00",102011.78028786
"2004-11-22 18:30:00",93463.7023070212
"2004-11-22 19:30:00",89273.093146628
"2004-11-22 20:30:00",84388.795132021
"2004-11-22 21:30:00",81028.2343840556
"2004-11-22 22:30:00",79151.7560166647
"2004-11-22 23:30:00",75475.1266410095
"2004-11-23 00:30:00",69695.122391044
"2004-11-23 01:30:00",61426.1734538956
"2004-11-23 02:30:00",55148.9674202428
"2004-11-23 03:30:00",49963.177798291
"2004-11-23 04:30:00",46288.3036526674
"2004-11-23 05:30:00",43460.8238025103
"2004-11-23 06:30:00",43872
"2004-11-23 07:30:00",46920.2450208423
"2004-11-23 08:30:00",64800.1543928768
"2004-11-23 09:30:00",90777.8683952145
"2004-11-23 10:30:00",102356.462495194
"2004-11-23 11:30:00",113912.899286329
"2004-11-23 12:30:00",119409.565215622
"2004-11-23 13:30:00",125058.789943813
"2004-11-23 14:30:00",122651.868957249
"2004-11-23 15:30:00",119779.180293671
"2004-11-23 16:30:00",107937.658188249
"2004-11-23 17:30:00",96320.5037770286
"2004-11-23 18:30:00",89288.672983597
"2004-11-23 19:30:00",84061.54042998
"2004-11-23 20:30:00",82382.836084646
"2004-11-23 21:30:00",78535.6436786175
"2004-11-23 22:30:00",80190
"2004-11-23 23:30:00",77015.4762353587
"2004-11-24 00:30:00",72030.65105957
"2004-11-24 01:30:00",67312.9149814917
"2004-11-24 02:30:00",60855.2818305274
"2004-11-24 03:30:00",55619.245674991
"2004-11-24 04:30:00",50997.3825420973
"2004-11-24 05:30:00",47565.9284036667
"2004-11-24 06:30:00",45270.1629059697
"2004-11-24 07:30:00",48382.9994023483
"2004-11-24 08:30:00",64916.4161658284
"2004-11-24 09:30:00",91055.5290636453
"2004-11-24 10:30:00",102021.362500691
"2004-11-24 11:30:00",101453
"2004-11-24 12:30:00",102830.48257872
"2004-11-24 13:30:00",119116.36431882
"2004-11-24 14:30:00",106297.849483359
"2004-11-24 15:30:00",81473.4159360977
"2004-11-24 16:30:00",75003.650188884
"2004-11-24 17:30:00",67270.8986622572
"2004-11-24 18:30:00",61745.1897520605
"2004-11-24 19:30:00",60069.5442932234
"2004-11-24 20:30:00",55082.1360437313
"2004-11-24 21:30:00",53785.1515013139
"2004-11-24 22:30:00",51820.4891250403
"2004-11-24 23:30:00",49220.7865013859
"2004-11-25 00:30:00",45354.1311339281
"2004-11-25 01:30:00",38464.3886517659
"2004-11-25 02:30:00",34335
"2004-11-25 03:30:00",31852.5822210321
"2004-11-25 04:30:00",28444.1230951098
"2004-11-25 05:30:00",27960.3474986878
"2004-11-25 06:30:00",29380.716949261
"2004-11-25 07:30:00",32337.9821557954
"2004-11-25 08:30:00",44782.6565744768
"2004-11-25 09:30:00",65160
"2004-11-25 10:30:00",74067.2744526768
"2004-11-25 11:30:00",80437.905296105
"2004-11-25 12:30:00",80415.565453178
"2004-11-25 13:30:00",83413.1317238492
"2004-11-25 14:30:00",84793.3985935452
"2004-11-25 15:30:00",81314.9954023768
"2004-11-25 16:30:00",73975.3397809235
"2004-11-25 17:30:00",66554.9830548406
"2004-11-25 18:30:00",61711.488546166
"2004-11-25 19:30:00",58145.5475866939
"2004-11-25 20:30:00",53628.7497932486
"2004-11-25 21:30:00",51279.1960376266
"2004-11-25 22:30:00",48923.3570543946
"2004-11-25 23:30:00",46283.6000648522
"2004-11-26 00:30:00",42701.9716533522
"2004-11-26 01:30:00",37990.3216052601
"2004-11-26 02:30:00",33373.4951834282
"2004-11-26 03:30:00",30673.1969292148
"2004-11-26 04:30:00",28032.5060310073
"2004-11-26 05:30:00",26527.6368730972
"2004-11-26 06:30:00",26178.8315246006
"2004-11-26 07:30:00",30784.684111386
"2004-11-26 08:30:00",44053.7802990782
"2004-11-26 09:30:00",62682.2854411126
"2004-11-26 10:30:00",70084.3699638816
"2004-11-26 11:30:00",76064.5288395372
"2004-11-26 12:30:00",74957.9972848048
"2004-11-26 13:30:00",72677.4334353467
"2004-11-26 14:30:00",79244
"2004-11-26 15:30:00",74980.7807556714
"2004-11-26 16:30:00",63487.751703331
"2004-11-26 17:30:00",54476.0898184011
"2004-11-26 18:30:00",51138.512063503
"2004-11-26 19:30:00",51265.5837851455
"2004-11-26 20:30:00",49326.5149921296
"2004-11-26 21:30:00",46928.1518962182
"2004-11-26 22:30:00",46398.8885819219
"2004-11-26 23:30:00",44664.7371881218
"2004-11-27 00:30:00",42590.0822050454
"2004-11-27 01:30:00",39372.4462119828
"2004-11-27 02:30:00",36232.8736571106
"2004-11-27 03:30:00",34004.9086618342
"2004-11-27 04:30:00",29333.9100967457
"2004-11-27 05:30:00",28015.0915577987
"2004-11-27 06:30:00",26969.5691974178
"2004-11-27 07:30:00",25728.566160005
"2004-11-27 08:30:00",27591.3448208372
"2004-11-27 09:30:00",31454.1463155686
"2004-11-27 10:30:00",36188.7148482658
"2004-11-27 11:30:00",39750.0587314782
"2004-11-27 12:30:00",42938.6196861177
"2004-11-27 13:30:00",47159.7007316744
"2004-11-27 14:30:00",48890.7993028386
"2004-11-27 15:30:00",51229.5456791279
"2004-11-27 16:30:00",49557.579692022
"2004-11-27 17:30:00",48216.6424388729
"2004-11-27 18:30:00",46392.5413701328
"2004-11-27 19:30:00",48494.677793765
"2004-11-27 20:30:00",45924.9869417742
"2004-11-27 21:30:00",45613.6505093757
"2004-11-27 22:30:00",45172.7488777714
"2004-11-27 23:30:00",45939.2385234497
"2004-11-28 00:30:00",48667.9796209393
"2004-11-28 01:30:00",44866.785578402
"2004-11-28 02:30:00",40357.2369139679
"2004-11-28 03:30:00",37522.5862424157
"2004-11-28 04:30:00",33910.1795566655
"2004-11-28 05:30:00",28542.9957208051
"2004-11-28 06:30:00",25969.8098994472
"2004-11-28 07:30:00",24802.0857573406
"2004-11-28 08:30:00",25395.4822755014
"2004-11-28 09:30:00",29015.0433497393
"2004-11-28 10:30:00",32984.0914920756
"2004-11-28 11:30:00",39098.7933249422
"2004-11-28 12:30:00",44756.288301804
"2004-11-28 13:30:00",49035.9526791364
"2004-11-28 14:30:00",53261.7547116739
"2004-11-28 15:30:00",55035.1506740261
"2004-11-28 16:30:00",55287.9873872341
"2004-11-28 17:30:00",54602.4342668454
"2004-11-28 18:30:00",54493.0917923127
"2004-11-28 19:30:00",54553.7440680118
"2004-11-28 20:30:00",54274
"2004-11-28 21:30:00",52619.979331523
"2004-11-28 22:30:00",51428.5089083184
"2004-11-28 23:30:00",47533.7385430277
"2004-11-29 00:30:00",42460.4342061106
"2004-11-29 01:30:00",37865.3314119362
"2004-11-29 02:30:00",35589.8783735422
"2004-11-29 03:30:00",31999.4404569002
"2004-11-29 04:30:00",29972.2022733698
"2004-11-29 05:30:00",28900.2006734323
"2004-11-29 06:30:00",28501.0947889669
"2004-11-29 07:30:00",32438.9021203155
"2004-11-29 08:30:00",49461.160693533
"2004-11-29 09:30:00",67889.3997374153
"2004-11-29 10:30:00",75509
"2004-11-29 11:30:00",80523
"2004-11-29 12:30:00",81577.8378680338
"2004-11-29 13:30:00",85024.3319735088
"2004-11-29 14:30:00",86160.1647986768
"2004-11-29 15:30:00",82759.85667602
"2004-11-29 16:30:00",72696.0995647235
"2004-11-29 17:30:00",64397.9295909279
"2004-11-29 18:30:00",60648
"2004-11-29 19:30:00",58350.2697610502
"2004-11-29 20:30:00",54538.7353323006
"2004-11-29 21:30:00",52054.2863912467
"2004-11-29 22:30:00",48751.0658898842
"2004-11-29 23:30:00",45148.2152054325
"2004-11-30 00:30:00",42130.7319690349
"2004-11-30 01:30:00",36189.3681570205
"2004-11-30 02:30:00",33105.4644836537
"2004-11-30 03:30:00",29913.976810295
"2004-11-30 04:30:00",27277.184957827
"2004-11-30 05:30:00",27026.3262996057
"2004-11-30 06:30:00",26245.195499474
"2004-11-30 07:30:00",32329.16750483
"2004-11-30 08:30:00",50078.8470568456
"2004-11-30 09:30:00",68732.6972791
"2004-11-30 10:30:00",75319
"2004-11-30 11:30:00",92221.7131256154
"2004-11-30 12:30:00",100538.752308237
"2004-11-30 13:30:00",104006.470641902
"2004-11-30 14:30:00",107104.349042821
"2004-11-30 15:30:00",103349.575857944
"2004-11-30 16:30:00",88486.318845093
"2004-11-30 17:30:00",74831.4927905303
"2004-11-30 18:30:00",74798.9102998385
"2004-11-30 19:30:00",69512.5550769262
"2004-11-30 20:30:00",68124.3779627476
"2004-11-30 21:30:00",66013.2253321037
"2004-11-30 22:30:00",67082.9534241371
"2004-11-30 23:30:00",63436.4516368604
"2004-12-01 00:30:00",58264.328445136
"2004-12-01 01:30:00",49253.2135767453
"2004-12-01 02:30:00",43793.8845734479
"2004-12-01 03:30:00",39106.2987018868
"2004-12-01 04:30:00",35678.5695066546
"2004-12-01 05:30:00",35011.9070929993
"2004-12-01 06:30:00",30168.7525946221
"2004-12-01 07:30:00",32005.155947049
"2004-12-01 08:30:00",54237.3037279934
"2004-12-01 09:30:00",80516.6675387726
"2004-12-01 10:30:00",88020.6431681935
"2004-12-01 11:30:00",96246.3975031108
"2004-12-01 12:30:00",97177.8378555428
"2004-12-01 13:30:00",101150.524100413
"2004-12-01 14:30:00",101657.48344731
"2004-12-01 15:30:00",95109.5787640431
"2004-12-01 16:30:00",85348.8651122265
"2004-12-01 17:30:00",77682.5726347496
"2004-12-01 18:30:00",75995.0819787323
"2004-12-01 19:30:00",71526.6601743668
"2004-12-01 20:30:00",65109.1839717717
"2004-12-01 21:30:00",63147.4784457462
"2004-12-01 22:30:00",62795.6225402918
"2004-12-01 23:30:00",59416.7043223677
"2004-12-02 00:30:00",55802.4013737045
"2004-12-02 01:30:00",49038
"2004-12-02 02:30:00",44824.1800355953
"2004-12-02 03:30:00",41262.3503031257
"2004-12-02 04:30:00",38502.8419017998
"2004-12-02 05:30:00",36738.1835356218
"2004-12-02 06:30:00",36125.8245347164
"2004-12-02 07:30:00",41135.7246922886
"2004-12-02 08:30:00",65474.5710729564
"2004-12-02 09:30:00",82467.5743011861
"2004-12-02 10:30:00",93079.356015282
"2004-12-02 11:30:00",102599.388139296
"2004-12-02 12:30:00",108057.727119821
"2004-12-02 13:30:00",112837.650108935
"2004-12-02 14:30:00",111399.188439509
"2004-12-02 15:30:00",103742.558557602
"2004-12-02 16:30:00",93405.2536703652
"2004-12-02 17:30:00",86868.7039310622
"2004-12-02 18:30:00",84285.964081755
"2004-12-02 19:30:00",80778.8689599948
"2004-12-02 20:30:00",78999.2426610931
"2004-12-02 21:30:00",77799.5618948675
"2004-12-02 22:30:00",75494.7752999197
"2004-12-02 23:30:00",74831.1288663524
"2004-12-03 00:30:00",67754.8816458515
"2004-12-03 01:30:00",62394.255699267
"2004-12-03 02:30:00",56962.352893313
"2004-12-03 03:30:00",53557.7309671273
"2004-12-03 04:30:00",50272.1280405878
"2004-12-03 05:30:00",48009.547098995
"2004-12-03 06:30:00",45399.8982299633
"2004-12-03 07:30:00",52307.4601254327
"2004-12-03 08:30:00",70881.8836440669
"2004-12-03 09:30:00",89448
"2004-12-03 10:30:00",80168.8127466312
"2004-12-03 11:30:00",87495.9148712424
"2004-12-03 12:30:00",85857.6635403056
"2004-12-03 13:30:00",90273.3272760896
"2004-12-03 14:30:00",87279.3961693384
"2004-12-03 15:30:00",80299.0830125968
"2004-12-03 16:30:00",67974.605967908
"2004-12-03 17:30:00",61223.8558788504
"2004-12-03 18:30:00",57414.2291271104
"2004-12-03 19:30:00",56959.3247686888
"2004-12-03 20:30:00",52867
"2004-12-03 21:30:00",52518.323756847
"2004-12-03 22:30:00",49083.8985997976
"2004-12-03 23:30:00",49012.2540318064
"2004-12-04 00:30:00",43615.802071215
"2004-12-04 01:30:00",44068.3120900933
"2004-12-04 02:30:00",39605.5813477629
"2004-12-04 03:30:00",37475.3597317863
"2004-12-04 04:30:00",33046.5559447621
"2004-12-04 05:30:00",32713.705586717
"2004-12-04 06:30:00",29702.7473528399
"2004-12-04 07:30:00",31026.955655055
"2004-12-04 08:30:00",32024.429337686
"2004-12-04 09:30:00",37573.581681408
"2004-12-04 10:30:00",40847.8190116504
"2004-12-04 11:30:00",45148.5806393456
"2004-12-04 12:30:00",48153.8460402032
"2004-12-04 13:30:00",54414.2118750736
"2004-12-04 14:30:00",55386.7618012248
"2004-12-04 15:30:00",58545
"2004-12-04 16:30:00",54325.4676891912
"2004-12-04 17:30:00",56527.4912319712
"2004-12-04 18:30:00",52735.5471597496
"2004-12-04 19:30:00",55192.6003220208
"2004-12-04 20:30:00",52802.9468558992
"2004-12-04 21:30:00",53506.145905316
"2004-12-04 22:30:00",51269.4988198104
"2004-12-04 23:30:00",50421.7387781816
"2004-12-05 00:30:00",47555.3740891496
"2004-12-05 01:30:00",43531.9163601627
"2004-12-05 02:30:00",42098.4761148676
"2004-12-05 03:30:00",35893.2558856186
"2004-12-05 04:30:00",34565.4537210236
"2004-12-05 05:30:00",29827.0501965677
"2004-12-05 06:30:00",30631.9792067082
"2004-12-05 07:30:00",28932.1149136426
"2004-12-05 08:30:00",31481.8635372148
"2004-12-05 09:30:00",33070.413686471
"2004-12-05 10:30:00",38476.6693786601
"2004-12-05 11:30:00",44300.8671304965
"2004-12-05 12:30:00",49149.843970704
"2004-12-05 13:30:00",52912.078315776
"2004-12-05 14:30:00",57696.2980794144
"2004-12-05 15:30:00",57669.4836812056
"2004-12-05 16:30:00",58079.8996486712
"2004-12-05 17:30:00",56645.2402887544
"2004-12-05 18:30:00",56181.0653844752
"2004-12-05 19:30:00",55270
"2004-12-05 20:30:00",53634.613323424
"2004-12-05 21:30:00",54419.2894215296
"2004-12-05 22:30:00",53052.1144869384
"2004-12-05 23:30:00",50954.808414064
"2004-12-06 00:30:00",45809.1006763566
"2004-12-06 01:30:00",40245
"2004-12-06 02:30:00",36423.1715172214
"2004-12-06 03:30:00",32862.7046158222
"2004-12-06 04:30:00",30332.5924102742
"2004-12-06 05:30:00",29028.5721395246
"2004-12-06 06:30:00",28847.1857154918
"2004-12-06 07:30:00",33673.1478202872
"2004-12-06 08:30:00",55223.2420645288
"2004-12-06 09:30:00",72266.9643366664
"2004-12-06 10:30:00",80883.7715297848
"2004-12-06 11:30:00",87918.214220656
"2004-12-06 12:30:00",89166
"2004-12-06 13:30:00",91226
"2004-12-06 14:30:00",91778.4931129408
"2004-12-06 15:30:00",85757.242628876
"2004-12-06 16:30:00",78133.241023628
"2004-12-06 17:30:00",69761.8977147384
"2004-12-06 18:30:00",66419.6845049928
"2004-12-06 19:30:00",61680.7252579032
"2004-12-06 20:30:00",58289.4194771088
"2004-12-06 21:30:00",55792.6794231312
"2004-12-06 22:30:00",54811.3060291048
"2004-12-06 23:30:00",50043.820094028
"2004-12-07 00:30:00",45475.8416194503
"2004-12-07 01:30:00",41406.6256479086
"2004-12-07 02:30:00",38624.7712052374
"2004-12-07 03:30:00",33913.8283400097
"2004-12-07 04:30:00",30401.1726269612
"2004-12-07 05:30:00",29635.5653057614
"2004-12-07 06:30:00",29031.4807702786
"2004-12-07 07:30:00",32506.1555118376
"2004-12-07 08:30:00",53181.1022479752
"2004-12-07 09:30:00",70535.2507520888
"2004-12-07 10:30:00",80362.2167733752
"2004-12-07 11:30:00",86554.1280802096
"2004-12-07 12:30:00",87539.7849043744
"2004-12-07 13:30:00",90532.8525996232
"2004-12-07 14:30:00",91474.8744432568
"2004-12-07 15:30:00",84942.8777667176
"2004-12-07 16:30:00",73482.2446998704
"2004-12-07 17:30:00",65249.9459329952
"2004-12-07 18:30:00",64664.4191706272
"2004-12-07 19:30:00",60923.589655088
"2004-12-07 20:30:00",56993.5307916224
"2004-12-07 21:30:00",54305.5822388312
"2004-12-07 22:30:00",51523.2521386528
"2004-12-07 23:30:00",49976.2260103952
"2004-12-08 00:30:00",45549.5913132118
"2004-12-08 01:30:00",40666.0438230115
"2004-12-08 02:30:00",35652.232957713
"2004-12-08 03:30:00",31671
"2004-12-08 04:30:00",29047.4355340325
"2004-12-08 05:30:00",26784.3734535666
"2004-12-08 06:30:00",26418.3771524688
"2004-12-08 07:30:00",31950.5505204548
"2004-12-08 08:30:00",51543.4229094888
"2004-12-08 09:30:00",68466.51489768
"2004-12-08 10:30:00",77996.5424684352
"2004-12-08 11:30:00",84568.3741282136
"2004-12-08 12:30:00",83362.6251286744
"2004-12-08 13:30:00",92336.4371799144
"2004-12-08 14:30:00",90560.841897156
"2004-12-08 15:30:00",83445.856063304
"2004-12-08 16:30:00",74962.6864027816
"2004-12-08 17:30:00",67144.7452999184
"2004-12-08 18:30:00",63641.4300033504
"2004-12-08 19:30:00",60730.07732538
"2004-12-08 20:30:00",57745.5626888288
"2004-12-08 21:30:00",54525.2917875608
"2004-12-08 22:30:00",51384.2083537787
"2004-12-08 23:30:00",49264
"2004-12-09 00:30:00",44518.6662843817
"2004-12-09 01:30:00",40001.4110202753
"2004-12-09 02:30:00",37012.2452812199
"2004-12-09 03:30:00",34134.1648801774
"2004-12-09 04:30:00",30817.4829611328
"2004-12-09 05:30:00",28610.7091560912
"2004-12-09 06:30:00",28921.1422469534
"2004-12-09 07:30:00",34124.6360773664
"2004-12-09 08:30:00",54369.519949164
"2004-12-09 09:30:00",72559.5952893264
"2004-12-09 10:30:00",79603.3645458104
"2004-12-09 11:30:00",87629.283664776
"2004-12-09 12:30:00",87152.6033285048
"2004-12-09 13:30:00",93420.9542987656
"2004-12-09 14:30:00",94073.6449812992
"2004-12-09 15:30:00",85660.8637540408
"2004-12-09 16:30:00",74872.9326218824
"2004-12-09 17:30:00",66375.7262867256
"2004-12-09 18:30:00",62939.187695616
"2004-12-09 19:30:00",62600.8496600248
"2004-12-09 20:30:00",58782.182308112
"2004-12-09 21:30:00",56805.8596126448
"2004-12-09 22:30:00",54459.7967115144
"2004-12-09 23:30:00",50150.2379863856
"2004-12-10 00:30:00",44525.6860605904
"2004-12-10 01:30:00",41474.0535147248
"2004-12-10 02:30:00",39190.3096131792
"2004-12-10 03:30:00",36423.6366623298
"2004-12-10 04:30:00",35010.5037493796
"2004-12-10 05:30:00",35310.0844851255
"2004-12-10 06:30:00",35726.6828374884
"2004-12-10 07:30:00",40796.1878400062
"2004-12-10 08:30:00",59539.97677302
"2004-12-10 09:30:00",77516.5168207416
"2004-12-10 10:30:00",85855.9562331872
"2004-12-10 11:30:00",92292.4722558656
"2004-12-10 12:30:00",90515.5841881056
"2004-12-10 13:30:00",93223.1624631144
"2004-12-10 14:30:00",92415.4303728896
"2004-12-10 15:30:00",84355.20617416
"2004-12-10 16:30:00",75752.3706850496
"2004-12-10 17:30:00",67520
"2004-12-10 18:30:00",64695.3609139664
"2004-12-10 19:30:00",60892.144051932
"2004-12-10 20:30:00",57914.2562756272
"2004-12-10 21:30:00",53136.7789043192
"2004-12-10 22:30:00",51770.210169704
"2004-12-10 23:30:00",50281.9949541112
"2004-12-11 00:30:00",46538.4397732552
"2004-12-11 01:30:00",42618.366509232
"2004-12-11 02:30:00",39521.850609672
"2004-12-11 03:30:00",35830.2307329979
"2004-12-11 04:30:00",32806.893559463
"2004-12-11 05:30:00",30951.4909972898
"2004-12-11 06:30:00",29855.9009710542
"2004-12-11 07:30:00",29966.8286643539
"2004-12-11 08:30:00",31805.1619206849
"2004-12-11 09:30:00",34528.6087663051
"2004-12-11 10:30:00",38559.2377893096
"2004-12-11 11:30:00",42701.3248406832
"2004-12-11 12:30:00",45711.7808146463
"2004-12-11 13:30:00",50264.9242628168
"2004-12-11 14:30:00",53492.44136082
"2004-12-11 15:30:00",54346.6537431488
"2004-12-11 16:30:00",52282.9141918696
"2004-12-11 17:30:00",50309.9219656072
"2004-12-11 18:30:00",50900.3047185192
"2004-12-11 19:30:00",52256.6011599216
"2004-12-11 20:30:00",50330.8690380752
"2004-12-11 21:30:00",49473.2365083008
"2004-12-11 22:30:00",48249.17573016
"2004-12-11 23:30:00",46865
"2004-12-12 00:30:00",43687.7209840844
"2004-12-12 01:30:00",41033.9586923734
"2004-12-12 02:30:00",38032.9742357248
"2004-12-12 03:30:00",35908.9110976263
"2004-12-12 04:30:00",31592.4293816897
"2004-12-12 05:30:00",28955.8416700388
"2004-12-12 06:30:00",28677.8780989743
"2004-12-12 07:30:00",28201.5721808539
